namespace,image,cve
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11671
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12020
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7526
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-14855
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12020
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7526
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-14855
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-10188
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-0053
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-3462
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-3810
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-2779
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-5011
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-12900
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-3189
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-1000366
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5094
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5188
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10140
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-8991
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12886
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2015-5276
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11671
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7526
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-9526
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-0495
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-13627
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-2779
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-5011
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10684
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10685
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11112
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11113
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13728
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-16879
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13729
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13730
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13731
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13732
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13733
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13734
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-19217
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-19211
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-17594
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-17595
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10684
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10685
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11112
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11113
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13728
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-16879
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13729
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13730
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13731
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13732
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13733
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-13734
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-19217
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-19211
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-17594
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-17595
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2015-3217
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7186
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7244
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-14155
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7245
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-7246
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1126
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1122
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1123
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1124
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1125
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-2779
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-5011
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5094
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5188
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12886
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2015-5276
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11671
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-18078
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-15686
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-15688
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-16864
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-16865
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-3842
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-7796
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-1049
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-6454
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-16888
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-6954
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-3815
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-16864
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10684
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-10685
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11112
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11113
